drugname,outcome_code,count
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",Hospitalization,3
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",Other Serious Outcome,3
ACETAMINOPHEN\ASPIRIN\CAFFEINE,Disability,84
ACETAMINOPHEN\ASPIRIN\CAFFEINE,Hospitalization,85
ACETAMINOPHEN\ASPIRIN\CAFFEINE,Life Threatening,1
ACETAMINOPHEN\ASPIRIN\CAFFEINE,Other Serious Outcome,90
ACETAMINOPHEN\BUTALBITAL\CAFFEINE,Congenital Anomaly,3
ACETAMINOPHEN\BUTALBITAL\CAFFEINE,Hospitalization,5
ACETAMINOPHEN\BUTALBITAL\CAFFEINE,Other Serious Outcome,11
ACETAMINOPHEN\CAFFEINE\CHLORPHENIRAMINE,Hospitalization,6
ACETAMINOPHEN\CAFFEINE\GUAIFENESIN\PHENYLEPHRINE,Other Serious Outcome,3
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN\PHENYLEPHRINE,Other Serious Outcome,5
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN\PSEUDOEPHEDRINE,Other Serious Outcome,2
ACETAMINOPHEN\CODEINE PHOSPHATE,Hospitalization,10
ACETAMINOPHEN\CODEINE PHOSPHATE,Life Threatening,10
ACETAMINOPHEN\CODEINE PHOSPHATE,Other Serious Outcome,9
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE,Other Serious Outcome,1
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE,Hospitalization,3
ACETAMINOPHEN\GUAIFENESIN,Other Serious Outcome,10
ACETAMINOPHEN\HYDROCODONE,Disability,7
ACETAMINOPHEN\HYDROCODONE,Hospitalization,14
ACETAMINOPHEN\HYDROCODONE,Life Threatening,16
ACETAMINOPHEN\HYDROCODONE,Other Serious Outcome,27
ACETAMINOPHEN\HYDROCODONE,Required Intervention,7
ACETAMINOPHEN\IBUPROFEN,Death,13
ACETAMINOPHEN\IBUPROFEN,Hospitalization,19
ACETAMINOPHEN\IBUPROFEN,Life Threatening,19
ACETAMINOPHEN\IBUPROFEN,Other Serious Outcome,12
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,Death,133
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,Disability,132
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,Hospitalization,138
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,Life Threatening,132
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,Other Serious Outcome,218
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,Required Intervention,1
ACETAMINOPHEN\TRAMADOL,Hospitalization,11
ACETAMINOPHEN\TRAMADOL,Other Serious Outcome,14
ACETAZOLAMIDE,Hospitalization,20
ACETAZOLAMIDE,Life Threatening,12
ACETAZOLAMIDE,Other Serious Outcome,39
ACETAZOLAMIDE,Required Intervention,1
ACETIC ACID,Hospitalization,1
ACETIC ACID,Other Serious Outcome,1
ACETIC ACID\DEXAMETHASONE\NEOMYCIN SULFATE,Other Serious Outcome,7
ACETIC ACID\WATER,Required Intervention,5
ACETYLCYSTEINE,Death,14
ACETYLCYSTEINE,Disability,7
ACETYLCYSTEINE,Hospitalization,36
ACETYLCYSTEINE,Life Threatening,7
ACETYLCYSTEINE,Other Serious Outcome,44
ACID CONCENTRATE D,Other Serious Outcome,2
ACITRETIN,Other Serious Outcome,7
ACLASTA,Death,3
ACLASTA,Disability,18
ACLASTA,Hospitalization,11
ACLASTA,Life Threatening,7
ACLASTA,Other Serious Outcome,44
ACLIDINIUM BROMIDE,Disability,2
ACLIDINIUM BROMIDE,Other Serious Outcome,15
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE,Congenital Anomaly,23
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE,Disability,23
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE,Hospitalization,26
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE,Other Serious Outcome,36
ACOLTREMON,Hospitalization,10
ACOLTREMON,Other Serious Outcome,25
ACORAMIDIS,Hospitalization,11
ACORAMIDIS,Other Serious Outcome,90
ACTEMRA,Congenital Anomaly,4189
ACTEMRA,Death,8492
ACTEMRA,Disability,6623
ACTEMRA,Hospitalization,8992
ACTEMRA,Life Threatening,3679
ACTEMRA,Other Serious Outcome,10562
ACTEMRA ACTPEN,Death,31
ACTEMRA ACTPEN,Disability,9
ACTEMRA ACTPEN,Hospitalization,276
ACTEMRA ACTPEN,Other Serious Outcome,351
ACTHAR,Hospitalization,2
ACTHAR,Other Serious Outcome,6
ACTIQ,Hospitalization,30
ACTIQ,Life Threatening,30
ACTIQ,Other Serious Outcome,31
ACTIVASE,Hospitalization,3
ACTIVELLA,Hospitalization,1
ACTOS,Death,41
ACTOS,Hospitalization,41
ACTOS,Life Threatening,41
ACTOS,Other Serious Outcome,48
ACTRAPHANE,Other Serious Outcome,1
ACTRAPID,Disability,6
ACTRAPID,Hospitalization,45
ACTRAPID,Other Serious Outcome,35
ACULAR,Other Serious Outcome,23
ACUVAIL,Other Serious Outcome,5
ACYCLOVIR,Death,109
ACYCLOVIR,Disability,3
ACYCLOVIR,Hospitalization,255
ACYCLOVIR,Life Threatening,85
ACYCLOVIR,Other Serious Outcome,427
ACYCLOVIR SODIUM,Hospitalization,6
ACYCLOVIR SODIUM,Other Serious Outcome,2
ADAGRASIB,Hospitalization,19
ADAGRASIB,Life Threatening,5
ADAGRASIB,Other Serious Outcome,22
ADAKVEO,Hospitalization,21
ADAKVEO,Other Serious Outcome,12
ADALIMUMAB,Congenital Anomaly,2639
ADALIMUMAB,Death,4335
ADALIMUMAB,Disability,3619
ADALIMUMAB,Hospitalization,5248
ADALIMUMAB,Life Threatening,3680
ADALIMUMAB,Other Serious Outcome,8571
ADALIMUMAB-AACF,Other Serious Outcome,1
ADALIMUMAB-AATY,Death,59
ADALIMUMAB-AATY,Disability,71
ADALIMUMAB-AATY,Hospitalization,309
ADALIMUMAB-AATY,Life Threatening,14
ADALIMUMAB-AATY,Other Serious Outcome,760
ADALIMUMAB-ADAZ,Hospitalization,1
ADALIMUMAB-ADAZ,Other Serious Outcome,15
ADALIMUMAB-ADAZ,Required Intervention,3
ADALIMUMAB-ADBM,Other Serious Outcome,2
ADAPALENE\BENZOYL PEROXIDE,Other Serious Outcome,4
ADBRY,Death,10
ADBRY,Disability,12
ADBRY,Hospitalization,87
