drugname,outcome_code,count
BEYFORTUS,Death,1
BEYFORTUS,Disability,10
BEYFORTUS,Hospitalization,203
BEYFORTUS,Life Threatening,42
BEYFORTUS,Other Serious Outcome,275
BEYFORTUS,Required Intervention,14
BEZLOTOXUMAB,Life Threatening,1
BICALUTAMIDE,Death,8
BICALUTAMIDE,Hospitalization,15
BICALUTAMIDE,Life Threatening,14
BICALUTAMIDE,Other Serious Outcome,86
BICILLIN,Other Serious Outcome,12
BICILLIN,Required Intervention,12
BICILLIN L-A,Hospitalization,2
BICILLIN L-A,Other Serious Outcome,9
BICTEGRAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE,Congenital Anomaly,10
BICTEGRAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE,Death,6
BICTEGRAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE,Disability,10
BICTEGRAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE,Hospitalization,91
BICTEGRAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE,Other Serious Outcome,84
BIJUVA,Other Serious Outcome,5
BIKTARVY,Congenital Anomaly,1
BIKTARVY,Death,27
BIKTARVY,Disability,9
BIKTARVY,Hospitalization,56
BIKTARVY,Other Serious Outcome,173
BIMATOPROST,Other Serious Outcome,17
BIMEKIZUMAB,Death,65
BIMEKIZUMAB,Disability,70
BIMEKIZUMAB,Hospitalization,2639
BIMEKIZUMAB,Life Threatening,192
BIMEKIZUMAB,Other Serious Outcome,6491
BIMZELX,Death,27
BIMZELX,Disability,15
BIMZELX,Hospitalization,933
BIMZELX,Life Threatening,4
BIMZELX,Other Serious Outcome,3522
BIMZELX,Required Intervention,3
BINIMETINIB,Hospitalization,10
BINIMETINIB,Other Serious Outcome,6
BIOFREEZE,Other Serious Outcome,7
BIOTIN\MINOXIDIL,Other Serious Outcome,2
BIOTRUE HYDRATION BOOST,Other Serious Outcome,7
BIRCH BARK\HERBALS,Death,1
BIRCH BARK\HERBALS,Hospitalization,28
BIRCH BARK\HERBALS,Other Serious Outcome,85
BISACODYL,Hospitalization,1
BISACODYL,Other Serious Outcome,1
BISMUTH SUBSALICYLATE,Hospitalization,104
BISMUTH SUBSALICYLATE,Life Threatening,26
BISMUTH SUBSALICYLATE,Other Serious Outcome,104
BISMUTH SUBSALICYLATE\METRONIDAZOLE\TETRACYCLINE HYDROCHLORIDE,Death,6
BISMUTH SUBSALICYLATE\METRONIDAZOLE\TETRACYCLINE HYDROCHLORIDE,Hospitalization,6
BISOPROLOL,Congenital Anomaly,28
BISOPROLOL,Death,20
BISOPROLOL,Disability,56
BISOPROLOL,Hospitalization,340
BISOPROLOL,Life Threatening,213
BISOPROLOL,Other Serious Outcome,499
BISOPROLOL FUMARATE,Congenital Anomaly,5
BISOPROLOL FUMARATE,Death,9
BISOPROLOL FUMARATE,Hospitalization,39
BISOPROLOL FUMARATE,Life Threatening,27
BISOPROLOL FUMARATE,Other Serious Outcome,69
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,Hospitalization,6
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,Other Serious Outcome,6
BISOPROLOL FUMARATE\HYDROCHLOROTHIAZIDE,Hospitalization,41
BISOPROLOL FUMARATE\HYDROCHLOROTHIAZIDE,Life Threatening,10
BISOPROLOL FUMARATE\HYDROCHLOROTHIAZIDE,Other Serious Outcome,17
BIVALIRUDIN,Hospitalization,7
BIVALIRUDIN,Life Threatening,3
BIVALIRUDIN,Other Serious Outcome,3
BIVALIRUDIN,Required Intervention,2
BIVIGAM,Life Threatening,2
BIVIGAM,Other Serious Outcome,37
BLENREP,Death,5
BLENREP,Hospitalization,4
BLENREP,Other Serious Outcome,30
BLEOMYCIN,Death,7
BLEOMYCIN,Hospitalization,68
BLEOMYCIN,Life Threatening,7
BLEOMYCIN,Other Serious Outcome,23
BLEOMYCIN SULFATE,Congenital Anomaly,5
BLEOMYCIN SULFATE,Death,1
BLEOMYCIN SULFATE,Disability,3
BLEOMYCIN SULFATE,Hospitalization,30
BLEOMYCIN SULFATE,Life Threatening,10
BLEOMYCIN SULFATE,Other Serious Outcome,33
BLINATUMOMAB,Death,446
BLINATUMOMAB,Hospitalization,42
BLINATUMOMAB,Life Threatening,84
BLINATUMOMAB,Other Serious Outcome,566
BLINCYTO,Death,29
BLINCYTO,Disability,4
BLINCYTO,Hospitalization,131
BLINCYTO,Life Threatening,48
BLINCYTO,Other Serious Outcome,246
BLINK BOOST,Other Serious Outcome,3
BLINK NOURISH DRY EYE,Other Serious Outcome,7
BLOXIVERZ,Life Threatening,7
BLOXIVERZ,Other Serious Outcome,10
BOCOUTURE,Other Serious Outcome,4
BONALON,Other Serious Outcome,3
BONVIVA,Other Serious Outcome,5
BOOSTRIX,Hospitalization,3
BOOSTRIX,Life Threatening,3
BOOSTRIX,Required Intervention,3
BORTEZOMIB,Death,287
BORTEZOMIB,Disability,11
BORTEZOMIB,Hospitalization,629
BORTEZOMIB,Life Threatening,316
BORTEZOMIB,Other Serious Outcome,1657
BOSENTAN,Death,23
BOSENTAN,Hospitalization,112
BOSENTAN,Life Threatening,1
BOSENTAN,Other Serious Outcome,63
BOSULIF,Death,35
BOSULIF,Disability,1
BOSULIF,Hospitalization,169
BOSULIF,Life Threatening,8
BOSULIF,Other Serious Outcome,486
BOSUTINIB,Hospitalization,1
BOSUTINIB,Life Threatening,1
BOSUTINIB,Other Serious Outcome,12
BOTOX,Congenital Anomaly,3
BOTOX,Death,118
BOTOX,Disability,155
BOTOX,Hospitalization,346
BOTOX,Life Threatening,7
BOTOX,Other Serious Outcome,693
BOTOX,Required Intervention,10
BOTOX COSMETIC,Death,2
BOTOX COSMETIC,Hospitalization,1
BOTOX COSMETIC,Other Serious Outcome,33
BOTULINUM TOXIN NOS,Disability,6
BOTULINUM TOXIN NOS,Hospitalization,1
BOTULINUM TOXIN NOS,Life Threatening,6
BOTULINUM TOXIN NOS,Other Serious Outcome,1
BOTULINUM TOXIN TYPE A,Death,11
BOTULINUM TOXIN TYPE A,Disability,150
BOTULINUM TOXIN TYPE A,Hospitalization,170
BOTULINUM TOXIN TYPE A,Life Threatening,69
BOTULINUM TOXIN TYPE A,Other Serious Outcome,132
BPC-157,Other Serious Outcome,8
BRAFTOVI,Death,99
BRAFTOVI,Disability,2
BRAFTOVI,Hospitalization,459
BRAFTOVI,Life Threatening,92
BRAFTOVI,Other Serious Outcome,847
BRENTUXIMAB VEDOTIN,Death,97
BRENTUXIMAB VEDOTIN,Disability,10
BRENTUXIMAB VEDOTIN,Hospitalization,271
BRENTUXIMAB VEDOTIN,Life Threatening,76
BRENTUXIMAB VEDOTIN,Other Serious Outcome,509
BREO ELLIPTA,Death,94
BREO ELLIPTA,Hospitalization,39
BREO ELLIPTA,Other Serious Outcome,189
BREO ELLIPTA,Required Intervention,7
BREXPIPRAZOLE,Death,377
BREXPIPRAZOLE,Disability,6
BREXPIPRAZOLE,Hospitalization,150
BREXPIPRAZOLE,Other Serious Outcome,454
BREXUCABTAGENE AUTOLEUCEL,Death,13
BREXUCABTAGENE AUTOLEUCEL,Disability,3
BREXUCABTAGENE AUTOLEUCEL,Hospitalization,4
BREXUCABTAGENE AUTOLEUCEL,Life Threatening,2
BREXUCABTAGENE AUTOLEUCEL,Other Serious Outcome,26
BREYANZI,Death,75
BREYANZI,Disability,11
BREYANZI,Hospitalization,114
BREYANZI,Life Threatening,66
BREYANZI,Other Serious Outcome,168
BREYNA,Hospitalization,14
BREYNA,Other Serious Outcome,17
BREZTRI,Death,25
BREZTRI,Disability,2
BREZTRI,Hospitalization,163
BREZTRI,Other Serious Outcome,317
BREZTRI,Required Intervention,1
BRIDION,Death,1
BRIDION,Hospitalization,11
BRIDION,Life Threatening,11
BRIDION,Other Serious Outcome,20
BRIGATINIB,Death,118
BRIGATINIB,Disability,19
BRIGATINIB,Hospitalization,1087
BRIGATINIB,Other Serious Outcome,4829
BRILINTA,Death,4
BRILINTA,Disability,4
BRILINTA,Hospitalization,33
BRILINTA,Life Threatening,8
BRILINTA,Other Serious Outcome,48
BRIMONIDINE,Hospitalization,17
BRIMONIDINE,Life Threatening,8
BRIMONIDINE,Other Serious Outcome,30
BRIMONIDINE TARTRATE,Hospitalization,17
BRIMONIDINE TARTRATE,Life Threatening,17
BRIMONIDINE TARTRATE,Other Serious Outcome,41
BRIMONIDINE TARTRATE AND TIMOLOL MALEATE,Other Serious Outcome,1
BRIMONIDINE TARTRATE\TIMOLOL MALEATE,Other Serious Outcome,8
BRINCIDOFOVIR,Hospitalization,1
BRINCIDOFOVIR,Life Threatening,1
BRINEURA,Death,8
BRINEURA,Hospitalization,44
BRINEURA,Life Threatening,21
BRINEURA,Other Serious Outcome,45
BRINSUPRI,Death,14
BRINSUPRI,Hospitalization,136
BRINSUPRI,Life Threatening,11
BRINSUPRI,Other Serious Outcome,292
BRINSUPRI,Required Intervention,5
BRINTELLIX,Disability,30
BRINTELLIX,Hospitalization,53
BRINTELLIX,Life Threatening,14
BRINTELLIX,Other Serious Outcome,113
BRINZOLAMIDE,Hospitalization,13
BRINZOLAMIDE,Other Serious Outcome,18
BRIUMVI,Death,6
BRIUMVI,Hospitalization,60
BRIUMVI,Life Threatening,1
BRIUMVI,Other Serious Outcome,87
BRIUMVI,Required Intervention,6
BRIVARACETAM,Congenital Anomaly,2
BRIVARACETAM,Death,28
BRIVARACETAM,Disability,13
BRIVARACETAM,Hospitalization,413
BRIVARACETAM,Life Threatening,12
BRIVARACETAM,Other Serious Outcome,1121
BRIVIACT,Death,4
BRIVIACT,Disability,4
BRIVIACT,Hospitalization,45
BRIVIACT,Other Serious Outcome,174
BRIXADI,Death,1
BRIXADI,Hospitalization,3
BRIXADI,Other Serious Outcome,15
BRODALUMAB,Death,2
BRODALUMAB,Hospitalization,19
BRODALUMAB,Other Serious Outcome,41
BROLUCIZUMAB,Other Serious Outcome,27
BROMAZEPAM,Death,8
BROMAZEPAM,Other Serious Outcome,24
BROMELAINS,Death,5
BROMELAINS,Hospitalization,5
BROMELAINS,Life Threatening,6
BROMELAINS,Other Serious Outcome,17
BROMFENAC,Other Serious Outcome,5
BROMFENAC\MOXIFLOXACIN\PREDNISONE,Hospitalization,3
BROMOCRIPTINE,Hospitalization,2
BROMOCRIPTINE MESYLATE,Other Serious Outcome,3
BROMPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE,Death,1
BRUKINSA,Death,36
BRUKINSA,Disability,1
BRUKINSA,Hospitalization,266
BRUKINSA,Life Threatening,15
BRUKINSA,Other Serious Outcome,678
BSS,Other Serious Outcome,13
BUDESONIDE,Congenital Anomaly,114
BUDESONIDE,Death,286
BUDESONIDE,Disability,193
BUDESONIDE,Hospitalization,847
BUDESONIDE,Life Threatening,396
BUDESONIDE,Other Serious Outcome,1318
BUDESONIDE,Required Intervention,126
BUDESONIDE\FORMOTEROL,Death,25
BUDESONIDE\FORMOTEROL,Disability,1
BUDESONIDE\FORMOTEROL,Hospitalization,114
BUDESONIDE\FORMOTEROL,Life Threatening,12
BUDESONIDE\FORMOTEROL,Other Serious Outcome,179
BUDESONIDE\FORMOTEROL FUMARATE,Hospitalization,11
BUDESONIDE\FORMOTEROL FUMARATE,Life Threatening,2
BUDESONIDE\FORMOTEROL FUMARATE,Other Serious Outcome,17
BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE,Death,2
BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE,Hospitalization,6
BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE,Other Serious Outcome,5
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,Death,304
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,Hospitalization,158
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,Life Threatening,51
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,Other Serious Outcome,407
BUMETANIDE,Hospitalization,18
BUMETANIDE,Other Serious Outcome,14
BUPHENYL,Hospitalization,2
BUPHENYL,Other Serious Outcome,2
BUPIVACAINE,Death,12
BUPIVACAINE,Hospitalization,94
BUPIVACAINE,Life Threatening,36
BUPIVACAINE,Other Serious Outcome,117
BUPIVACAINE,Required Intervention,1
BUPIVACAINE HYDROCHLORIDE,Hospitalization,47
BUPIVACAINE HYDROCHLORIDE,Life Threatening,29
BUPIVACAINE HYDROCHLORIDE,Other Serious Outcome,93
BUPIVACAINE HYDROCHLORIDE,Required Intervention,24
BUPIVACAINE HYDROCHLORIDE\FENTANYL CITRATE,Other Serious Outcome,4
BUPIVACAINE\FENTANYL CITRATE,Other Serious Outcome,4
BUPRENORPHINE,Congenital Anomaly,4
BUPRENORPHINE,Death,165
BUPRENORPHINE,Disability,9
BUPRENORPHINE,Hospitalization,254
BUPRENORPHINE,Life Threatening,39
BUPRENORPHINE,Other Serious Outcome,464
BUPRENORPHINE,Required Intervention,8
BUPRENORPHINE AND NALOXONE,Hospitalization,17
BUPRENORPHINE AND NALOXONE,Other Serious Outcome,38
BUPRENORPHINE AND NALOXONE SUBLINGUAL,Other Serious Outcome,3
BUPRENORPHINE HYDROCHLORIDE,Hospitalization,13
BUPRENORPHINE HYDROCHLORIDE,Other Serious Outcome,12
BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,Other Serious Outcome,9
BUPRENORPHINE HYDROCHLORIDE\NALOXONE,Other Serious Outcome,8
BUPRENORPHINE HYDROCHLORIDE\NALOXONE HYDROCHLORIDE,Hospitalization,12
BUPRENORPHINE HYDROCHLORIDE\NALOXONE HYDROCHLORIDE,Other Serious Outcome,29
BUPRENORPHINE HYDROCHLORIDE\NALOXONE HYDROCHLORIDE,Required Intervention,21
BUPRENORPHINE\NALOXONE,Disability,4
BUPRENORPHINE\NALOXONE,Hospitalization,32
BUPRENORPHINE\NALOXONE,Life Threatening,6
BUPRENORPHINE\NALOXONE,Other Serious Outcome,68
BUPRENORPHINE\NALOXONE,Required Intervention,1
BUPROPION,Congenital Anomaly,10
BUPROPION,Death,32
BUPROPION,Disability,19
BUPROPION,Hospitalization,383
BUPROPION,Life Threatening,189
BUPROPION,Other Serious Outcome,659
BUPROPION,Required Intervention,56
BUPROPION HYDROCHLORIDE,Death,192
BUPROPION HYDROCHLORIDE,Disability,1
BUPROPION HYDROCHLORIDE,Hospitalization,293
BUPROPION HYDROCHLORIDE,Life Threatening,71
BUPROPION HYDROCHLORIDE,Other Serious Outcome,354
BUPROPION HYDROCHLORIDE,Required Intervention,48
BUPROPION HYDROCHLORIDE SR,Death,8
BUPROPION HYDROCHLORIDE SR,Hospitalization,14
BUPROPION HYDROCHLORIDE SR,Other Serious Outcome,14
BUPROPION HYDROCHLORIDE XL,Death,6
BUPROPION HYDROCHLORIDE XL,Hospitalization,17
BUPROPION HYDROCHLORIDE XL,Life Threatening,14
BUPROPION HYDROCHLORIDE XL,Other Serious Outcome,30
BUPROPION HYDROCHLORIDE XL,Required Intervention,4
BUPROPION HYDROCHLORIDE\NALTREXONE HYDROCHLORIDE,Hospitalization,41
BUPROPION HYDROCHLORIDE\NALTREXONE HYDROCHLORIDE,Life Threatening,22
BUPROPION HYDROCHLORIDE\NALTREXONE HYDROCHLORIDE,Other Serious Outcome,44
BUPROPION XL,Other Serious Outcome,9
BUROSUMAB,Death,1
BUROSUMAB,Hospitalization,34
BUROSUMAB,Other Serious Outcome,54
BUSPAR,Disability,22
BUSPAR,Hospitalization,22
BUSPAR,Other Serious Outcome,25
BUSPAR,Required Intervention,22
BUSPIRONE,Hospitalization,13
BUSPIRONE,Life Threatening,12
BUSPIRONE,Other Serious Outcome,9
BUSPIRONE HYDROCHLORIDE,Hospitalization,9
BUSPIRONE HYDROCHLORIDE,Life Threatening,9
BUSPIRONE HYDROCHLORIDE,Other Serious Outcome,13
BUSULFAN,Death,8
BUSULFAN,Disability,2
BUSULFAN,Hospitalization,4
BUSULFAN,Life Threatening,43
BUSULFAN,Other Serious Outcome,96
BUSULFEX,Other Serious Outcome,10
BUTORPHANOL TARTRATE,Other Serious Outcome,4
BUTRANS,Congenital Anomaly,60
BUTRANS,Death,57
BUTRANS,Disability,57
BUTRANS,Hospitalization,75
BUTRANS,Life Threatening,57
BUTRANS,Other Serious Outcome,115
BYDUREON BCISE,Other Serious Outcome,6
BYLVAY,Death,1
BYLVAY,Hospitalization,73
BYLVAY,Other Serious Outcome,61
BYOOVIZ,Hospitalization,4
BYSTOLIC,Other Serious Outcome,17
CABAZITAXEL,Hospitalization,12
CABAZITAXEL,Other Serious Outcome,8
CABENUVA,Congenital Anomaly,10
CABENUVA,Death,7
CABENUVA,Hospitalization,31
CABENUVA,Other Serious Outcome,213
CABENUVA,Required Intervention,29
CABERGOLINE,Death,4
CABERGOLINE,Hospitalization,42
CABERGOLINE,Life Threatening,7
CABERGOLINE,Other Serious Outcome,63
CABLIVI,Death,28
CABLIVI,Hospitalization,23
CABLIVI,Other Serious Outcome,43
CABOMETYX,Death,183
CABOMETYX,Disability,130
CABOMETYX,Hospitalization,597
CABOMETYX,Life Threatening,65
CABOMETYX,Other Serious Outcome,933
CABOTEGRAVIR,Death,2
CABOTEGRAVIR,Disability,12
CABOTEGRAVIR,Hospitalization,25
CABOTEGRAVIR,Life Threatening,8
CABOTEGRAVIR,Other Serious Outcome,167
CABOTEGRAVIR\RILPIVIRINE,Other Serious Outcome,17
CABOZANTINIB,Death,8
CABOZANTINIB,Disability,6
CABOZANTINIB,Hospitalization,228
CABOZANTINIB,Life Threatening,16
CABOZANTINIB,Other Serious Outcome,342
CAFFEINE,Death,11
CAFFEINE,Hospitalization,4
CAFFEINE,Life Threatening,4
CAFFEINE,Other Serious Outcome,6
CAFFEINE CITRATE,Hospitalization,9
CAFFEINE CITRATE,Life Threatening,9
CAFFEINE CITRATE,Other Serious Outcome,9
CALASPARGASE PEGOL,Death,15
CALASPARGASE PEGOL,Hospitalization,32
CALASPARGASE PEGOL,Life Threatening,5
CALASPARGASE PEGOL,Other Serious Outcome,8
CALASPARGASE PEGOL,Required Intervention,3
CALASPARGASE PEGOL-MKNL,Death,30
CALASPARGASE PEGOL-MKNL,Hospitalization,58
CALASPARGASE PEGOL-MKNL,Life Threatening,2
CALASPARGASE PEGOL-MKNL,Required Intervention,3
CALCIFEDIOL,Hospitalization,12
CALCIFEDIOL,Life Threatening,12
CALCIPOTRIENE,Death,2
CALCIPOTRIENE,Other Serious Outcome,9
CALCITONIN,Hospitalization,5
CALCITONIN,Life Threatening,4
CALCITONIN,Other Serious Outcome,9
CALCITONIN SALMON,Hospitalization,2
CALCITONIN SALMON,Life Threatening,1
CALCITONIN SALMON,Other Serious Outcome,2
CALCITRIOL,Congenital Anomaly,111
CALCITRIOL,Death,184
CALCITRIOL,Disability,111
CALCITRIOL,Hospitalization,112
CALCITRIOL,Life Threatening,111
CALCITRIOL,Other Serious Outcome,124
CALCIUM,Hospitalization,6
CALCIUM,Life Threatening,6
CALCIUM,Other Serious Outcome,6
CALCIUM CARBONATE,Death,35
CALCIUM CARBONATE,Disability,35
CALCIUM CARBONATE,Hospitalization,120
CALCIUM CARBONATE,Life Threatening,41
CALCIUM CARBONATE,Other Serious Outcome,133
CALCIUM CHLORIDE,Hospitalization,52
CALCIUM CHLORIDE,Other Serious Outcome,52
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE,Death,1
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE,Hospitalization,2
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE,Other Serious Outcome,23
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,Death,12
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,Hospitalization,34
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,Other Serious Outcome,60
CALCIUM CHLORIDE\POTASSIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,Hospitalization,2
CALCIUM CHLORIDE\POTASSIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,Other Serious Outcome,5
CALCIUM CL\DEXTROSE\MAGNESIUM CL\SODIUM BICAR\SODIUM CL\SODIUM LACT,Hospitalization,6
CALCIUM CL\DEXTROSE\MAGNESIUM CL\SODIUM BICAR\SODIUM CL\SODIUM LACT,Other Serious Outcome,75
CALCIUM GLUCONATE,Hospitalization,4
CALCIUM GLUCONATE,Other Serious Outcome,14
CALONAL,Death,20
CALONAL,Hospitalization,20
CALONAL,Life Threatening,20
CALQUENCE,Death,16
CALQUENCE,Hospitalization,65
CALQUENCE,Life Threatening,9
CALQUENCE,Other Serious Outcome,214
CALTRATE,Congenital Anomaly,2
CALTRATE,Death,2
CALTRATE,Disability,2
CALTRATE,Hospitalization,2
CALTRATE,Life Threatening,2
CALTRATE,Other Serious Outcome,2
CAMBIA,Disability,35
CAMBIA,Hospitalization,35
CAMBIA,Other Serious Outcome,35
CAMPATH,Hospitalization,5
CAMPATH,Other Serious Outcome,19
CAMPHOR\MENTHOL,Congenital Anomaly,81
CAMPHOR\MENTHOL,Death,81
CAMPHOR\MENTHOL,Disability,81
CAMPHOR\MENTHOL,Hospitalization,81
CAMPHOR\MENTHOL,Life Threatening,81
CAMPHOR\MENTHOL,Other Serious Outcome,81
CAMPHOR\MENTHOL,Required Intervention,81
CAMPTOSAR,Other Serious Outcome,6
CAMRESE LO,Hospitalization,2
CAMZYOS,Death,16
CAMZYOS,Hospitalization,239
CAMZYOS,Life Threatening,22
CAMZYOS,Other Serious Outcome,536
CANAGLIFLOZIN,Death,3
CANAGLIFLOZIN,Hospitalization,20
CANAGLIFLOZIN,Life Threatening,9
CANAGLIFLOZIN,Other Serious Outcome,16
CANAKINUMAB,Hospitalization,15
CANAKINUMAB,Other Serious Outcome,30
CANCIDAS,Other Serious Outcome,2
CANDESARTAN,Congenital Anomaly,7
CANDESARTAN,Death,10
CANDESARTAN,Disability,81
CANDESARTAN,Hospitalization,98
CANDESARTAN,Life Threatening,30
CANDESARTAN,Other Serious Outcome,526
CANDESARTAN CILEXETIL,Congenital Anomaly,260
CANDESARTAN CILEXETIL,Death,305
CANDESARTAN CILEXETIL,Disability,253
CANDESARTAN CILEXETIL,Hospitalization,455
CANDESARTAN CILEXETIL,Life Threatening,366
CANDESARTAN CILEXETIL,Other Serious Outcome,582
CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,Other Serious Outcome,3
CANDESARTAN CILEXETIL\HYDROCHLOROTHIAZIDE,Other Serious Outcome,33
CANGRELOR,Hospitalization,4
CANGRELOR,Other Serious Outcome,4
CANNABIDIOL,Death,4
CANNABIDIOL,Disability,5
CANNABIDIOL,Hospitalization,5
CANNABIDIOL,Other Serious Outcome,19
CANNABINOL\HERBALS,Other Serious Outcome,4
CANNABIS SATIVA SUBSP. INDICA FLOWER BUD,Disability,2
CANNABIS SATIVA SUBSP. INDICA TOP,Death,5
CANNABIS SATIVA SUBSP. INDICA TOP,Disability,10
CANNABIS SATIVA SUBSP. INDICA TOP,Hospitalization,5
CANNABIS SATIVA SUBSP. INDICA TOP,Life Threatening,5
CAPECITABINE,Congenital Anomaly,9
CAPECITABINE,Death,268
CAPECITABINE,Disability,32
CAPECITABINE,Hospitalization,858
CAPECITABINE,Life Threatening,223
CAPECITABINE,Other Serious Outcome,999
CAPECITABINE,Required Intervention,28
CAPECITABINE\OXALIPLATIN,Other Serious Outcome,8
CAPIVASERTIB,Death,65
CAPIVASERTIB,Hospitalization,101
CAPIVASERTIB,Life Threatening,8
CAPIVASERTIB,Other Serious Outcome,295
CAPLACIZUMAB,Death,3
CAPLACIZUMAB,Hospitalization,3
CAPLACIZUMAB,Other Serious Outcome,3
CAPLACIZUMAB-YHDP,Hospitalization,5
CAPLACIZUMAB-YHDP,Life Threatening,2
CAPLYTA,Death,7
CAPLYTA,Disability,7
CAPLYTA,Hospitalization,36
CAPLYTA,Other Serious Outcome,147
CAPLYTA,Required Intervention,4
CAPMATINIB,Hospitalization,3
CAPMATINIB,Other Serious Outcome,14
CAPRELSA,Hospitalization,11
CAPRELSA,Other Serious Outcome,27
CAPSAICIN,Hospitalization,1
CAPSAICIN,Other Serious Outcome,4
CAPTOPRIL,Hospitalization,2
CAPTOPRIL,Other Serious Outcome,6
CAPVAXIVE,Required Intervention,2
CARBAGLU,Death,9
CARBAGLU,Hospitalization,103
CARBAGLU,Other Serious Outcome,26
CARBAMAZEPINE,Congenital Anomaly,43
CARBAMAZEPINE,Death,160
CARBAMAZEPINE,Disability,109
CARBAMAZEPINE,Hospitalization,784
CARBAMAZEPINE,Life Threatening,281
CARBAMAZEPINE,Other Serious Outcome,898
CARBAMAZEPINE,Required Intervention,10
CARBAMIDE PEROXIDE,Hospitalization,2
CARBAMIDE PEROXIDE,Other Serious Outcome,2
CARBATROL,Other Serious Outcome,1
CARBIDOPA,Death,47
CARBIDOPA,Hospitalization,261
CARBIDOPA,Other Serious Outcome,137
CARBIDOPA AND LEVODOPA,Disability,1
CARBIDOPA AND LEVODOPA,Hospitalization,10
CARBIDOPA AND LEVODOPA,Other Serious Outcome,17
CARBIDOPA LEVODOPA,Other Serious Outcome,6
CARBIDOPA\ENTACAPONE\LEVODOPA,Disability,2
CARBIDOPA\ENTACAPONE\LEVODOPA,Other Serious Outcome,1
CARBIDOPA\LEVODOPA,Death,751
CARBIDOPA\LEVODOPA,Disability,15
CARBIDOPA\LEVODOPA,Hospitalization,2087
CARBIDOPA\LEVODOPA,Life Threatening,20
CARBIDOPA\LEVODOPA,Other Serious Outcome,1877
CARBOCAINE,Required Intervention,13
CARBOCYSTEINE,Hospitalization,14
CARBOCYSTEINE,Other Serious Outcome,14
CARBOPLATIN,Congenital Anomaly,7
CARBOPLATIN,Death,512
CARBOPLATIN,Disability,71
CARBOPLATIN,Hospitalization,2284
CARBOPLATIN,Life Threatening,708
CARBOPLATIN,Other Serious Outcome,3710
CARBOPLATIN,Required Intervention,8
CARBOPROST,Hospitalization,2
CARBOPROST,Life Threatening,2
CARBOPROST TROMETHAMINE,Other Serious Outcome,16
CARBOXYMETHYLCELLULOSE SODIUM,Other Serious Outcome,1
CARBOXYMETHYLCELLULOSE SODIUM\GLYCERIN,Other Serious Outcome,14
CARDENALIN,Other Serious Outcome,2
CARDENE,Other Serious Outcome,10
CARDIOGEN-82,Other Serious Outcome,1
CARDIOLITE,Other Serious Outcome,3
CARDURA,Other Serious Outcome,4
CARDURA XL,Disability,8
CARDURA XL,Hospitalization,15
CARDURA XL,Life Threatening,9
CARDURA XL,Other Serious Outcome,34
CARFILZOMIB,Death,414
CARFILZOMIB,Disability,6
CARFILZOMIB,Hospitalization,236
CARFILZOMIB,Life Threatening,117
CARFILZOMIB,Other Serious Outcome,697
CARGLUMIC ACID,Death,2
CARGLUMIC ACID,Disability,2
CARGLUMIC ACID,Hospitalization,1
CARIPRAZINE,Death,4
CARIPRAZINE,Hospitalization,30
CARIPRAZINE,Life Threatening,3
CARIPRAZINE,Other Serious Outcome,69
CARIPRAZINE HYDROCHLORIDE,Death,2
CARIPRAZINE HYDROCHLORIDE,Hospitalization,20
CARIPRAZINE HYDROCHLORIDE,Other Serious Outcome,22
CARMUSTINE,Hospitalization,3
CARMUSTINE,Life Threatening,3
CARMUSTINE,Other Serious Outcome,17
CARTEOLOL HYDROCHLORIDE,Other Serious Outcome,2
CARTIA XT,Other Serious Outcome,2
CARVEDILOL,Death,6
